Gas viscosity 	2.5e-05
Volume of flow path1 	8.780306478143246e-07
Volume of flow path2 	2.2391990931408176e-06
flow area1 	1.7560612956286491e-06
flow area2	2.681675560647686e-06
TIME		FLOW RATE		GAS TEMP		PLENUM PRE		GAS VELOCITY		 DISTACE
0.0000000000000	0.0	0
4.016650041058033e-05	1273	5000000.0	0.0000010000000	2.0083250205290166e-05	0
4.0166500404483375e-05	1272.9999999618976	4999999.999799168	0.0000020000000	2.0083250202241687e-05	0.0
4.0166500398386425e-05	1272.9999999237953	4999999.9995983355	0.0000030000000	2.0083250199193212e-05	2.0083250205290165e-11
4.016650039228946e-05	1272.999999885693	4999999.999397503	0.0000040000000	2.008325019614473e-05	6.024975060977354e-11
4.016650038619251e-05	1272.9999998475905	4999999.999196671	0.0000050000000	2.0083250193096256e-05	1.2049950120735318e-10
4.016650038009554e-05	1272.9999998094881	4999999.998995839	0.0000060000000	2.008325019004777e-05	2.008325019919321e-10
4.016650037399859e-05	1272.9999997713858	4999999.998795006	0.0000070000000	2.0083250186999296e-05	3.0124875295741335e-10
4.0166500367901634e-05	1272.9999997332834	4999999.998594174	0.0000080000000	2.0083250183950817e-05	4.2174825409769996e-10
4.0166500361804685e-05	1272.999999695181	4999999.998393342	0.0000090000000	2.0083250180902346e-05	5.62331005406695e-10
4.0166500355707714e-05	1272.9999996570787	4999999.99819251	0.0000100000000	2.0083250177853857e-05	7.229970068783015e-10
4.0166500349610764e-05	1272.9999996189763	4999999.997991677	0.0000110000000	2.0083250174805382e-05	9.037462585064226e-10
4.016650034351381e-05	1272.999999580874	4999999.997790845	0.0000120000000	2.0083250171756907e-05	1.1045787602849612e-09
4.016650033741685e-05	1272.9999995427715	4999999.997590013	0.0000130000000	2.0083250168708425e-05	1.3254945122078205e-09
4.01665003313199e-05	1272.9999995046692	4999999.997389181	0.0000140000000	2.008325016565995e-05	1.5664935142689033e-09
4.016650032522294e-05	1272.9999994665668	4999999.997188348	0.0000150000000	2.0083250162611465e-05	1.827575766462113e-09
4.0166500319125974e-05	1272.9999994284644	4999999.996987516	0.0000160000000	2.0083250159562987e-05	2.1087412687813524e-09
4.016650031302903e-05	1272.999999390362	4999999.996786684	0.0000170000000	2.0083250156514515e-05	2.4099900212205244e-09
4.016650030693207e-05	1272.9999993522597	4999999.996585852	0.0000180000000	2.0083250153466034e-05	2.731322023773532e-09
4.0166500300835104e-05	1272.9999993141573	4999999.996385019	0.0000190000000	2.0083250150417552e-05	3.072737276434279e-09
4.016650029473815e-05	1272.999999276055	4999999.996184187	0.0000200000000	2.0083250147369074e-05	3.4342357791966676e-09
4.01665002886412e-05	1272.9999992379526	4999999.995983355	0.0000210000000	2.00832501443206e-05	3.815817532054601e-09
4.016650028254424e-05	1272.9999991998502	4999999.9957825225	0.0000220000000	2.008325014127212e-05	4.217482535001983e-09
4.016650027644728e-05	1272.9999991617478	4999999.99558169	0.0000230000000	2.008325013822364e-05	4.639230788032715e-09
4.016650027035032e-05	1272.9999991236455	4999999.995380858	0.0000240000000	2.008325013517516e-05	5.081062291140701e-09
4.016650026425337e-05	1272.999999085543	4999999.995180026	0.0000250000000	2.0083250132126685e-05	5.542977044319845e-09
4.016650025815641e-05	1272.9999990474407	4999999.994979193	0.0000260000000	2.0083250129078203e-05	6.024975047564049e-09
4.016650025205946e-05	1272.9999990093384	4999999.994778361	0.0000270000000	2.008325012602973e-05	6.527056300867215e-09
4.0166500245962494e-05	1272.999998971236	4999999.994577529	0.0000280000000	2.0083250122981247e-05	7.049220804223248e-09
4.016650023986554e-05	1272.9999989331336	4999999.994376697	0.0000290000000	2.008325011993277e-05	7.59146855762605e-09
4.016650023376858e-05	1272.9999988950312	4999999.994175864	0.0000300000000	2.008325011688429e-05	8.153799561069526e-09
4.016650022767163e-05	1272.9999988569289	4999999.993975032	0.0000310000000	2.0083250113835815e-05	8.736213814547576e-09
4.016650022157466e-05	1272.9999988188265	4999999.9937742	0.0000320000000	2.008325011078733e-05	9.338711318054104e-09
4.016650021547771e-05	1272.9999987807241	4999999.993573368	0.0000330000000	2.0083250107738855e-05	9.961292071583015e-09
4.016650020938075e-05	1272.9999987426218	4999999.993372535	0.0000340000000	2.0083250104690377e-05	1.060395607512821e-08
4.0166500203283797e-05	1272.9999987045194	4999999.993171703	0.0000350000000	2.0083250101641898e-05	1.1266703328683592e-08
4.016650019718685e-05	1272.999998666417	4999999.992970871	0.0000360000000	2.0083250098593423e-05	1.1949533832243065e-08
4.016650019108988e-05	1272.9999986283146	4999999.992770039	0.0000370000000	2.008325009554494e-05	1.2652447585800532e-08
4.016650018499292e-05	1272.9999985902123	4999999.992569206	0.0000380000000	2.008325009249646e-05	1.3375444589349894e-08
4.0166500178895977e-05	1272.99999855211	4999999.992368374	0.0000390000000	2.0083250089447988e-05	1.4118524842885058e-08
4.016650017279901e-05	1272.9999985140075	4999999.992167542	0.0000400000000	2.0083250086399507e-05	1.4881688346399923e-08
4.016650016670205e-05	1272.9999984759052	4999999.9919667095	0.0000410000000	2.0083250083351025e-05	1.5664935099888393e-08
4.01665001606051e-05	1272.9999984378028	4999999.991765877	0.0000420000000	2.008325008030255e-05	1.6468265103344373e-08
4.016650015450815e-05	1272.9999983997004	4999999.991565045	0.0000430000000	2.0083250077254075e-05	1.7291678356761764e-08
4.0166500148411186e-05	1272.999998361598	4999999.991364213	0.0000440000000	2.0083250074205593e-05	1.813517486013447e-08
4.0166500142314236e-05	1272.9999983234957	4999999.99116338	0.0000450000000	2.0083250071157118e-05	1.8998754613456397e-08
