['kr', 'rb', 'sr', 'zr', 'ru', 'te',
 'i', 'xe', 'cs', 'ba', 'la', 'ce',
 'u', 'pu']


Size of aerosol is: 1e-08 
rb	0.3846782563135312 
sr	0.38467608221212696 
zr	0.38466659753984345 
ru	0.38465252625287527 
cs	0.3846776829229569 
ba	0.38467357364885196 
la	0.38466745760124005 
ce	0.38466597638558625 
u	0.3846367593781738 
pu	0.3846348482857633 
Size of aerosol is: 1e-07 
rb	0.7385129014164723 
sr	0.738095629889516 
zr	0.7362779816797748 
ru	0.7335895129260396 
cs	0.7384028288851381 
ba	0.7376144556970199 
la	0.7364426214906703 
ce	0.7361590980409506 
u	0.730588628680106 
pu	0.7302257202963441 
Size of aerosol is: 1e-06 
rb	0.8213807340509727 
sr	0.7762457736859499 
zr	0.6066206158574786 
ru	0.4207724281509201 
cs	0.8092282508639879 
ba	0.7272400548904222 
la	0.6203365632974636 
ce	0.5969036481688306 
u	0.2792715418373228 
pu	0.2657347981147157 
Size of aerosol is: 3e-06 
rb	0.38049997375639577 
sr	0.22879538539838148 
zr	0.024871874268088477 
ru	0.0009244416213199855 
cs	0.3327310623842898 
ba	0.1272196338542679 
la	0.030415883796401318 
ce	0.021507608481083546 
u	2.3104371957545637e-05 
pu	1.4773720759501298e-05 
